binname	contiglength	mean_read_length	coverage	damage	GC
s02_bin.314	8348	155.6	30.2	0.065	0.636
s02_bin.314	5191	160.8	29.4	0.099	0.627
s02_bin.314	4217	170.7	25.3	0.034	0.643
s02_bin.314	8353	170.1	31.5	0.026	0.644
s02_bin.314	11592	163.2	27.4	0.039	0.623
s02_bin.314	10790	163	25	0.037	0.638
s02_bin.314	9363	162.2	37	0.021	0.627
s02_bin.314	6825	165.4	39.4	0.027	0.627
s02_bin.314	5905	172.8	28.7	0.018	0.613
s02_bin.314	25257	164.8	26.4	0.023	0.625
s02_bin.314	13744	159.5	35.9	0.011	0.619
s02_bin.314	8302	150.3	45.3	0.014	0.612
s02_bin.314	7747	165.6	30.8	0.032	0.639
s02_bin.314	2645	166.1	25	0	0.642
s02_bin.314	4171	158	28.2	0.038	0.625
s02_bin.314	6070	160.7	35.8	0.04	0.649
s02_bin.314	9383	157.2	51.2	0.014	0.621
s02_bin.314	3419	145.6	29.2	0.019	0.647
s02_bin.314	7092	154.8	38.1	0.019	0.623
s02_bin.314	3849	160.1	33.2	0.024	0.627
s02_bin.314	6895	150.6	41.5	0.042	0.630
s02_bin.314	12614	157.9	28.7	0.024	0.641
s02_bin.314	16425	170.2	27.3	0.025	0.640
s02_bin.314	14075	158.5	25.8	0.035	0.633
s02_bin.314	8335	158.2	33.8	0.016	0.618
s02_bin.314	25459	161.8	33.4	0.058	0.611
s02_bin.314	8784	165.1	33.2	0.02	0.608
s02_bin.314	13454	163.7	29.4	0.046	0.634
s02_bin.314	9524	166.7	30.3	0.013	0.626
s02_bin.314	11274	163.5	25.3	0.068	0.622
s02_bin.314	3169	159	28.1	0.043	0.652
s02_bin.314	9966	153.9	34.6	0.013	0.619
s02_bin.314	3864	159.8	34.2	0.025	0.613
s02_bin.314	2689	166.6	32.6	0.045	0.656
s02_bin.314	4073	162.4	34.9	0.028	0.632
s02_bin.314	3448	164.2	27.5	0.033	0.637
s02_bin.314	3715	160.7	35.2	0.042	0.627
s02_bin.314	2728	161.8	22.4	0.086	0.658
s02_bin.314	6815	171.2	25.2	0.018	0.661
s02_bin.314	11483	166.2	38.6	0.014	0.648
s02_bin.314	3237	170.3	28.1	0.068	0.642
s02_bin.314	7807	147.9	53	0.015	0.619
s02_bin.314	3780	163.3	27.7	0.027	0.641
s02_bin.314	24433	166.4	36.8	0.03	0.619
s02_bin.314	4523	169	27.2	0.023	0.630
s02_bin.314	10188	167.1	35	0.047	0.623
s02_bin.314	5093	158	27.5	0.042	0.639
s02_bin.314	9631	159.3	26.3	0.019	0.640
s02_bin.314	23581	162.3	35.8	0.033	0.623
s02_bin.314	3733	171.2	30.7	0.017	0.629
s02_bin.314	5117	158.3	33.9	0.021	0.625
s02_bin.314	15541	157.6	38.7	0.066	0.630
s02_bin.314	4489	153.5	30.1	0.042	0.622
s02_bin.314	10726	154.5	39.8	0.01	0.619
s02_bin.314	3186	155.1	32.3	0.036	0.619
s02_bin.314	4056	162.4	24.1	0.023	0.646
s02_bin.314	4933	171.3	24.7	0.016	0.644
s02_bin.314	2704	173	31	0.062	0.642
s02_bin.314	6509	161.3	29.2	0.013	0.641
s02_bin.314	5753	167.3	30.1	0.038	0.637
s02_bin.314	5824	165.1	26	0.058	0.645
s02_bin.314	4922	157.4	32.9	0.026	0.632
s02_bin.314	7655	164.5	33.1	0.067	0.661
s02_bin.314	5184	145.9	46.6	0.007	0.608
s02_bin.314	4766	157.8	29.2	0.007	0.654
s02_bin.314	10160	165.2	39.3	0.015	0.633
s02_bin.314	3504	168.3	43.6	0.023	0.616
s02_bin.314	11198	163.3	32.5	0.022	0.609
s02_bin.314	4996	177.7	25.2	0.02	0.624
s02_bin.314	17951	166.7	34.8	0.062	0.638
s02_bin.314	5081	170.7	22.8	0	0.661
s02_bin.314	15873	165.6	36.1	0.045	0.642
s02_bin.314	31106	164.9	37.7	0.034	0.633
s02_bin.314	10339	163.6	29.5	0.072	0.634
s02_bin.314	2577	135.4	98.6	0.012	0.629
s02_bin.314	15435	163.3	32.4	0.015	0.637
s02_bin.314	8015	161.7	29.2	0.061	0.636
s02_bin.314	7879	164.7	28.8	0.01	0.630
s02_bin.314	9537	152.2	36.8	0.017	0.650
s02_bin.314	37267	162.8	36.6	0.038	0.617
s02_bin.314	5140	169.1	26.3	0.035	0.622
s02_bin.314	4608	167.3	31.2	0	0.620
s02_bin.314	9926	154.7	47.7	0.008	0.621
Lib4_6_bin.41	11296	112.6	234.7	0.057	0.456
Lib4_6_bin.41	15210	115.5	297	0.044	0.485
Lib4_6_bin.41	16495	113.8	217.7	0.087	0.453
Lib4_6_bin.41	27464	113.1	216.3	0.075	0.449
Lib4_6_bin.41	12231	111.2	236.6	0.035	0.475
Lib4_6_bin.41	20391	113.5	245.7	0.073	0.455
Lib4_6_bin.41	27827	113.6	219.1	0.09	0.450
Lib4_6_bin.41	9910	115	244.8	0.053	0.445
Lib4_6_bin.41	13129	114.9	247.4	0.059	0.456
Lib4_6_bin.41	6824	111.4	243.7	0.054	0.447
Lib4_6_bin.41	19895	114.2	239.3	0.066	0.455
Lib4_6_bin.41	2521	115.2	216.5	0.022	0.472
Lib4_6_bin.41	40842	114	238	0.052	0.445
Lib4_6_bin.41	3173	114.2	433.5	0.017	0.446
Lib4_6_bin.41	32054	115.3	266.2	0.05	0.468
Lib4_6_bin.41	31949	113.3	212.3	0.081	0.445
Lib4_6_bin.41	2587	113.7	230	0.067	0.451
Lib4_6_bin.41	14923	112.9	250.7	0.062	0.462
Lib4_6_bin.41	3655	105.4	222.8	0.016	0.431
Lib4_6_bin.41	3678	115.5	293.3	0.026	0.501
Lib4_6_bin.41	32314	115.4	291.2	0.042	0.478
Lib4_6_bin.41	4542	106.8	326.6	0.02	0.459
Lib4_6_bin.41	2893	113.6	278.8	0.047	0.476
Lib4_6_bin.41	6993	115.3	292.5	0.058	0.487
Lib4_6_bin.41	32941	113.9	256.4	0.045	0.460
Lib4_6_bin.41	10567	113.8	275.8	0.08	0.481
Lib4_6_bin.41	15354	112.2	198.2	0.061	0.436
Lib4_6_bin.41	5310	110.7	310.4	0.026	0.456
Lib4_6_bin.41	22344	115.6	287.3	0.065	0.476
Lib4_6_bin.41	4173	104.3	200.2	0.024	0.443
Lib4_6_bin.41	4517	114.6	278.2	0.045	0.494
Lib4_6_bin.41	2575	115.3	296	0.032	0.491
Lib4_6_bin.41	14821	113.7	228.7	0.05	0.436
Lib4_6_bin.41	3180	105.4	397	0.016	0.480
Lib4_6_bin.41	22090	114.4	263.5	0.047	0.465
Lib4_6_bin.41	5403	116.4	287.2	0.026	0.514
Lib4_6_bin.41	6743	112.7	218.8	0.099	0.455
Lib4_6_bin.41	11165	113.2	241.2	0.036	0.480
Lib4_6_bin.41	31798	112.5	210.7	0.073	0.438
Lib4_6_bin.41	26854	114.2	261.8	0.046	0.454
Lib4_6_bin.41	28510	114.1	241.9	0.044	0.457
Lib4_6_bin.41	16349	114.5	310	0.038	0.492
Lib4_6_bin.41	22363	114.8	263.7	0.064	0.463
Lib4_6_bin.41	42847	115.4	258.5	0.051	0.458
Lib4_6_bin.41	3427	113.7	267.4	0.052	0.479
Lib4_6_bin.41	6213	116.6	317.1	0.044	0.501
Lib4_6_bin.41	4217	112.9	213.4	0.036	0.450
Lib4_6_bin.41	9983	114.4	225.2	0.034	0.462
Lib4_6_bin.41	7355	116.8	322.9	0.064	0.498
Lib4_6_bin.41	15891	115.9	299.9	0.035	0.499
Lib4_6_bin.41	8911	113	278.5	0.063	0.462
Lib4_6_bin.41	4232	110.2	250.6	0.011	0.474
Lib4_6_bin.41	29640	115	221.6	0.078	0.451
Lib4_6_bin.41	28735	114.2	241.2	0.076	0.457
Lib4_6_bin.41	8255	114.3	273	0.043	0.453
Lib4_6_bin.41	10358	111.7	324.5	0.031	0.460
Lib4_6_bin.41	19196	113.8	274.4	0.061	0.467
Lib4_6_bin.41	9803	109.8	234.9	0.066	0.434
Lib4_6_bin.41	2950	112.9	241.2	0.03	0.455
Lib4_6_bin.41	6716	113.3	260.5	0.086	0.471
Lib4_6_bin.41	28943	115.3	261.3	0.106	0.484
Lib4_6_bin.41	8142	114.6	267.7	0.045	0.470
Lib4_6_bin.41	41483	114.5	241.5	0.059	0.461
Lib4_6_bin.41	27784	114.7	244.6	0.068	0.462
Lib4_6_bin.41	31262	113.8	231.1	0.063	0.449
Lib4_6_bin.41	9479	117	320.5	0.03	0.498
Lib4_6_bin.41	10550	111.3	192.9	0.064	0.422
Lib4_6_bin.41	34064	116.4	305.4	0.039	0.500
Lib4_6_bin.41	45048	112.3	218.6	0.087	0.447
Lib4_6_bin.41	15173	115.7	287.1	0.054	0.475
Lib4_6_bin.41	4155	111.7	345.4	0.022	0.453
Lib4_6_bin.41	8861	112.9	259.8	0.044	0.440
Lib4_6_bin.41	16125	115.8	267.7	0.086	0.472
Lib4_6_bin.41	27422	113.1	223.9	0.031	0.438
Lib4_6_bin.41	8456	113.6	219.2	0.076	0.437
Lib4_6_bin.41	4306	111.8	238.6	0.03	0.435
Lib4_6_bin.41	2625	111.7	216.8	0.024	0.446
Lib4_6_bin.41	20436	113.1	217	0.079	0.462
Lib4_6_bin.41	15102	113.9	224.3	0.097	0.445
Lib4_6_bin.41	9862	116	292.7	0.103	0.495
Lib4_6_bin.41	17120	116.7	304.3	0.06	0.499
Lib4_6_bin.41	28655	115.7	329	0.041	0.478
Lib4_6_bin.41	2720	113.4	210.9	0.05	0.444
Lib4_6_bin.41	7579	112.4	224.3	0.077	0.451
Lib4_6_bin.41	21902	114.3	243.7	0.06	0.461
Lib4_6_bin.41	35694	112.4	168.8	0.078	0.451
Lib4_6_bin.41	34833	113.5	253.8	0.061	0.461
Lib4_6_bin.41	18468	115.6	273.3	0.067	0.470
Lib4_6_bin.41	26631	114	248.5	0.088	0.454
Lib4_6_bin.41	24645	116.7	289.8	0.053	0.483
Lib4_6_bin.41	12818	113.8	281.2	0.042	0.468
Lib4_6_bin.41	14731	115	260.4	0.043	0.462
Lib4_6_bin.41	24524	111.9	219.6	0.049	0.430
Lib4_6_bin.41	4440	113.6	286.5	0.114	0.488
Lib4_6_bin.41	24064	107.4	154	0.048	0.440
Lib4_6_bin.41	30084	113.8	237.8	0.076	0.455
Lib4_6_bin.41	12457	114.1	267.9	0.037	0.439
Lib4_6_bin.41	4300	114.9	269.4	0.052	0.485
Lib4_6_bin.41	12760	117.1	303.4	0.038	0.494
Lib4_6_bin.41	6617	110.8	508.1	0.027	0.478
Lib4_6_bin.41	15033	113.6	251.2	0.045	0.458
Lib4_6_bin.41	18468	115.5	275	0.08	0.463
Lib4_6_bin.41	7845	114.9	312.7	0.021	0.461
Lib4_6_bin.41	7239	116.7	308.9	0.044	0.504
Lib4_6_bin.41	3738	112.3	233.6	0.05	0.440
Lib4_6_bin.41	23170	114.9	269	0.067	0.477
Lib4_6_bin.41	30702	115.2	273.6	0.062	0.476
Lib4_6_bin.41	11040	111.7	208.2	0.03	0.452
Lib4_6_bin.41	5714	116.2	279.4	0.017	0.487
Lib4_6_bin.41	14003	112	230.8	0.073	0.459
Lib4_6_bin.41	7686	114.6	270.6	0.087	0.470
Lib4_6_bin.41	6182	112.7	239.3	0.041	0.451
Lib4_6_bin.41	45835	114.7	255.7	0.064	0.469
Lib4_6_bin.41	29399	114.4	255.5	0.047	0.464
Lib4_6_bin.41	42519	112.5	210.6	0.045	0.445
Lib4_6_bin.41	3711	111	247.8	0.021	0.459
Lib4_6_bin.41	3587	115.5	250	0.039	0.479
Lib4_6_bin.41	13734	113	215	0.088	0.450
Lib4_6_bin.41	16827	115.9	271.1	0.026	0.461
Lib4_6_bin.41	3663	114.3	241.9	0.033	0.468
Lib4_6_bin.41	30473	113.8	232.3	0.073	0.461
Lib4_6_bin.41	3806	111.5	218.9	0.036	0.437
Lib4_6_bin.41	11940	113.7	230	0.058	0.444
Lib4_6_bin.41	15882	116.7	240.7	0.06	0.473
Lib4_6_bin.41	17061	113.5	262.4	0.044	0.456
Lib4_6_bin.41	7430	115.5	287.1	0.08	0.486
Lib4_6_bin.41	9747	116.6	231.9	0.051	0.469
Lib4_6_bin.41	5771	113.2	239	0.032	0.445
Lib4_6_bin.41	34737	115.6	282.8	0.054	0.480
Lib4_6_bin.41	24426	112.9	236.2	0.075	0.472
Lib4_6_bin.41	6291	115.9	291.4	0.067	0.496
Lib4_6_bin.41	2639	112.4	298	0.115	0.489
Lib4_6_bin.41	4813	109.5	195	0.027	0.438
Lib4_6_bin.41	38293	114.8	287.8	0.063	0.476
Lib4_6_bin.41	14243	106.1	211.2	0.062	0.458
Lib4_6_bin.41	9899	113.4	227.3	0.019	0.455
Lib4_6_bin.41	7247	113.5	230.5	0.081	0.451
Lib4_6_bin.41	13598	113.5	263.4	0.049	0.464
Lib4_6_bin.41	29504	114.4	262.1	0.073	0.465
Lib4_6_bin.41	13097	111.3	227	0.036	0.443
Lib4_6_bin.41	57511	115.7	282.2	0.057	0.472
Lib4_6_bin.41	6715	114.4	270	0.051	0.481
Lib4_6_bin.41	26343	114.3	258.9	0.062	0.467
Lib4_6_bin.41	8569	114.8	311.3	0.066	0.494
Lib4_6_bin.41	15465	113.8	259.7	0.036	0.462
Lib4_6_bin.41	5970	117.4	584.8	0.022	0.491
Lib4_6_bin.41	20959	114.1	243.8	0.041	0.459
Lib4_6_bin.41	8282	113.8	235.9	0.075	0.471
Lib4_6_bin.41	8446	113.5	334.1	0.023	0.473
Lib4_6_bin.41	56664	112.4	205.4	0.058	0.433
Lib4_6_bin.41	76707	115	266.2	0.047	0.477
Lib4_2_bin.37	13493	91.3	117.3	0.061	0.347
Lib4_2_bin.37	2759	89.3	79.4	0.141	0.318
Lib4_2_bin.37	6113	91	134.2	0.063	0.352
Lib4_2_bin.37	3328	92.3	131.1	0.056	0.345
Lib4_2_bin.37	4050	91.5	111.6	0.064	0.330
Lib4_2_bin.37	4134	90.8	89.9	0.057	0.346
Lib4_2_bin.37	4704	90.7	110.4	0.049	0.345
Lib4_2_bin.37	5061	91.9	119.7	0.053	0.337
Lib4_2_bin.37	3666	91.4	142.4	0.046	0.343
Lib4_2_bin.37	6150	90.5	82.1	0.025	0.344
Lib4_2_bin.37	3655	89.7	90.8	0.067	0.345
Lib4_2_bin.37	5090	91.8	99.1	0.04	0.335
Lib4_2_bin.37	11382	90.5	122.5	0.046	0.353
Lib4_2_bin.37	6162	89.7	89	0.049	0.336
Lib4_2_bin.37	3581	90.6	98.8	0.039	0.335
Lib4_2_bin.37	5899	91.3	85.8	0.047	0.290
Lib4_2_bin.37	3190	89.6	87.6	0.032	0.358
Lib4_2_bin.37	3514	90	86.5	0.066	0.322
Lib4_2_bin.37	5830	92.1	120	0.047	0.342
Lib4_2_bin.37	2803	91.8	137.2	0.06	0.350
Lib4_2_bin.37	4045	90.8	116.4	0.06	0.358
Lib4_2_bin.37	3903	90	91.9	0.042	0.357
Lib4_2_bin.37	3538	91.4	107.4	0.105	0.324
Lib4_2_bin.37	4978	90	107.9	0.078	0.350
Lib4_2_bin.37	3425	89.8	97.8	0.067	0.337
Lib4_2_bin.37	2839	89.7	107.6	0.059	0.344
Lib4_2_bin.37	2770	89.4	91.3	0.034	0.342
Lib4_2_bin.37	4802	94.4	69.9	0.033	0.308
Lib4_2_bin.37	8742	91.8	85.8	0.033	0.346
Lib4_2_bin.37	24412	82.7	91.5	0.09	0.323
Lib4_2_bin.37	4743	90.6	97.9	0.055	0.353
Lib4_2_bin.37	3560	89.8	92.5	0.081	0.333
Lib4_2_bin.37	6649	88.8	86.5	0.062	0.353
Lib4_2_bin.37	5046	91.2	133.2	0.053	0.339
Lib4_2_bin.37	5834	91.1	115.7	0.039	0.331
Lib4_2_bin.37	5267	92.6	94.2	0.056	0.328
Lib4_2_bin.37	11720	90.5	98.5	0.049	0.325
Lib4_2_bin.37	2503	91.8	133.3	0.041	0.328
Lib4_2_bin.37	3292	92	125.8	0.022	0.313
Lib4_2_bin.37	4989	91.5	126.3	0.047	0.348
Lib4_2_bin.37	4160	90.8	96.5	0.121	0.364
Lib4_2_bin.37	5258	91.7	103.3	0.079	0.339
Lib4_2_bin.37	18823	91.7	83.1	0.055	0.326
Lib4_2_bin.37	20243	89.8	121.8	0.083	0.374
Lib4_2_bin.37	5480	90.4	121.1	0.055	0.355
Lib4_2_bin.37	3319	91.1	106.9	0.075	0.351
Lib4_2_bin.37	10663	90.7	88.5	0.043	0.341
Lib4_2_bin.37	4092	89.6	76.1	0.025	0.329
Lib4_2_bin.37	2653	91.4	76.3	0.004	0.345
Lib4_2_bin.37	3655	89.4	79.2	0.053	0.355
Lib4_2_bin.37	10987	90.4	89	0.037	0.344
Lib4_2_bin.37	5814	91.9	125.6	0.052	0.345
Lib4_2_bin.37	3009	91.3	86.7	0.043	0.343
Lib4_2_bin.37	11146	91.4	108.4	0.036	0.345
Lib4_2_bin.37	4881	91.9	81.7	0.043	0.339
Lib4_2_bin.37	3922	90.2	80.8	0.054	0.337
Lib4_2_bin.37	12495	90.9	95.4	0.048	0.333
Lib4_2_bin.37	2809	90.4	128.8	0.042	0.340
Lib4_2_bin.37	5070	91.3	98.8	0.049	0.346
Lib4_2_bin.37	10985	91.6	92.4	0.069	0.348
Lib4_2_bin.37	7603	92.4	138.5	0.049	0.345
Lib4_2_bin.37	6704	91.5	88.7	0.043	0.299
Lib4_2_bin.37	3052	92.1	131.2	0.07	0.344
Lib4_2_bin.37	6086	92.1	100.8	0.037	0.319
Lib4_2_bin.37	8735	90	102.7	0.049	0.353
Lib4_2_bin.37	2954	91.1	134.5	0.029	0.354
Lib4_2_bin.37	6192	91.5	87.2	0.046	0.338
Lib4_2_bin.37	3187	90.5	85	0.037	0.357
Lib4_2_bin.37	9919	91.1	129.4	0.084	0.359
Lib4_2_bin.37	5175	90.6	122.8	0.053	0.347
Lib4_2_bin.37	2777	91.9	88.4	0.057	0.294
Lib4_2_bin.37	12488	91.2	130.7	0.057	0.337
Lib4_2_bin.37	3050	91.8	108.1	0.053	0.355
Lib4_2_bin.37	5400	92	96.9	0.044	0.320
Lib4_2_bin.37	3663	90.7	109.8	0.063	0.322
Lib4_2_bin.37	2675	89.5	120.2	0.043	0.321
Lib4_2_bin.37	6615	91.6	122.3	0.073	0.318
Lib4_2_bin.37	2584	90.7	140	0.051	0.354
Lib4_2_bin.37	9475	91.1	111.6	0.042	0.356
Lib4_2_bin.37	4023	92	117	0.036	0.326
Lib4_2_bin.37	6720	89.5	112.5	0.036	0.361
Lib4_2_bin.37	7417	91.8	127	0.029	0.339
Lib4_2_bin.37	6756	90.6	116.7	0.024	0.349
Lib4_2_bin.37	7699	92.1	121.2	0.05	0.336
Lib4_2_bin.37	3878	88.7	68.5	0.076	0.306
Lib4_2_bin.37	5197	90	115.1	0.034	0.304
Lib4_2_bin.37	2932	90.9	100.7	0.078	0.335
Lib4_2_bin.37	3698	91.7	105.6	0.047	0.344
Lib4_2_bin.37	3102	90.5	104.9	0.062	0.347
Lib4_2_bin.37	4622	89.9	98.6	0.032	0.360
Lib4_2_bin.37	3232	92	107.1	0.024	0.313
Lib4_2_bin.37	3493	91.3	102.9	0.083	0.347
Lib4_2_bin.37	3102	91.3	115.1	0.044	0.330
Lib4_2_bin.37	3663	91.6	87.6	0.049	0.279
Lib4_2_bin.37	8038	90.4	91.4	0.069	0.374
Lib4_2_bin.37	6177	92.1	137.4	0.038	0.348
Lib4_2_bin.37	8265	92.1	126.2	0.04	0.345
Lib4_2_bin.37	3453	91.2	124.8	0.029	0.345
Lib4_2_bin.37	5997	91.1	96.1	0.061	0.348
Lib4_2_bin.37	3415	91	121	0.046	0.332
Lib4_2_bin.37	4298	92.6	110.7	0.065	0.357
Lib4_2_bin.37	2608	89.7	106.3	0.024	0.363
Lib4_2_bin.37	4227	89	71.4	0.05	0.330
Lib4_2_bin.37	7143	90.9	118	0.047	0.335
Lib4_2_bin.37	5364	91	122.4	0.077	0.342
Lib4_2_bin.37	6282	91.7	98.3	0.034	0.339
Lib4_2_bin.37	7169	89.2	87.9	0.052	0.352
Lib4_2_bin.37	4098	89.8	94.5	0.043	0.345
Lib4_2_bin.37	3992	91	102.1	0.031	0.344
Lib4_2_bin.37	3226	91.1	107.4	0.055	0.330
Lib4_2_bin.37	23194	81.8	80.1	0.13	0.314
Lib4_2_bin.37	10361	90.6	105.6	0.059	0.358
Lib4_2_bin.37	2645	89.1	128.6	0.06	0.338
Lib4_2_bin.37	2743	94.3	68.8	0.015	0.306
Lib4_2_bin.37	7732	90.8	102.2	0.037	0.324
Lib4_2_bin.37	4389	91.1	131.8	0.042	0.353
Lib4_2_bin.37	17042	92.6	100.6	0.062	0.345
Lib4_2_bin.37	3084	90.9	111.1	0.063	0.361
Lib4_2_bin.37	2949	92.2	136.7	0.042	0.341
Lib4_2_bin.37	3737	90.2	125.4	0.105	0.350
Lib4_2_bin.37	2772	89.9	106.1	0.045	0.349
Lib4_2_bin.37	4731	89.1	67.9	0.075	0.338
Lib4_2_bin.37	4039	91.3	109.1	0.049	0.329
Lib4_2_bin.37	5862	90.4	108.9	0.027	0.353
Lib4_2_bin.37	19501	91.5	91.8	0.084	0.347
Lib4_2_bin.37	13098	90.5	119.4	0.049	0.349
Lib4_2_bin.37	3431	89.9	80.3	0.036	0.329
Lib4_2_bin.37	4292	91.2	96.7	0.047	0.340
Lib4_2_bin.37	3681	91.1	135.2	0.03	0.368
Lib4_2_bin.37	5975	90.4	114.5	0.039	0.338
Lib4_2_bin.37	2650	89.4	59.6	0.093	0.327
Lib4_2_bin.37	5689	90.4	103.4	0.057	0.346
Lib4_2_bin.37	5368	90.2	124.1	0.05	0.378
Lib4_2_bin.37	2979	89.4	76.6	0.072	0.339
Lib4_2_bin.37	3407	90.9	82.2	0.046	0.350
Lib4_2_bin.37	3144	91.4	108.1	0.035	0.347
Lib4_2_bin.37	2633	88.7	112.5	0.056	0.352
Lib4_2_bin.37	4844	92.2	89.9	0.058	0.320
Lib4_2_bin.37	5606	90.3	121.2	0.065	0.327
Lib4_2_bin.37	8217	91.1	75.7	0.042	0.348
Lib4_2_bin.37	7367	92.8	132.6	0.05	0.333
Lib4_2_bin.37	7102	91.7	108	0.062	0.347
Lib4_2_bin.37	4120	91.5	94.5	0.028	0.352
Lib4_2_bin.37	5044	91.5	123.3	0.035	0.333
Lib4_2_bin.37	16694	90.7	136.8	0.05	0.357
Lib4_2_bin.37	3347	92.7	128.3	0.038	0.327
Lib4_2_bin.37	8454	91.5	150.2	0.038	0.351
Lib4_2_bin.37	2743	89.9	88.5	0.038	0.350
Lib4_2_bin.37	9599	91.1	122.4	0.03	0.341
Lib4_2_bin.37	2774	92.6	101.3	0.023	0.327
Lib4_2_bin.37	2536	87.1	77.8	0.057	0.285
Lib4_2_bin.37	21014	90.1	117.3	0.07	0.363
Lib4_2_bin.37	7928	91	97.3	0.039	0.343
Lib4_2_bin.37	5481	91.9	116.6	0.06	0.332
Lib4_2_bin.37	3976	89.1	86.3	0.041	0.341
Lib4_2_bin.37	4731	90.2	105	0.057	0.343
Lib4_2_bin.37	4706	89.5	97	0.05	0.334
Lib4_2_bin.37	9032	90.3	115.8	0.049	0.339
Lib4_2_bin.37	2924	88.9	91.4	0.045	0.328
Lib4_2_bin.37	3054	90.5	84.8	0.074	0.339
Lib4_2_bin.37	2959	91.3	99.2	0.095	0.273
Lib4_2_bin.37	3468	91.6	109.1	0.026	0.341
Lib4_2_bin.37	4838	89.8	95.3	0.073	0.329
Lib4_2_bin.37	3309	91.9	98.8	0.073	0.320
Lib4_2_bin.37	3603	89.6	116.1	0.029	0.347
Lib4_2_bin.37	2616	92.1	62.6	0.05	0.310
Lib4_2_bin.37	7556	89.7	104.7	0.05	0.350
Lib4_2_bin.37	3999	91.9	145.9	0.025	0.340
Lib4_2_bin.37	4660	90.6	80.9	0.052	0.334
Lib4_2_bin.37	3950	89.1	147.2	0.037	0.370
Lib4_2_bin.37	9157	91.4	80.9	0.04	0.309
Lib4_2_bin.37	4817	89.8	102.4	0.043	0.349
Lib4_2_bin.37	4750	91.2	111.1	0.043	0.366
Lib4_2_bin.37	10629	91.2	95.8	0.044	0.345
Lib4_2_bin.37	5569	90.3	82.1	0.034	0.341
Lib4_2_bin.37	5484	91.8	129.3	0.062	0.325
Lib4_2_bin.37	3363	90.4	125.3	0.062	0.352
Lib4_2_bin.37	4797	91.7	120	0.051	0.348
Lib4_2_bin.37	11625	92.8	126.1	0.033	0.347
Lib4_2_bin.37	3846	91.8	124.8	0.049	0.340
Lib4_2_bin.37	3600	90.3	87.7	0.066	0.284
Lib4_2_bin.37	3196	92.3	98.2	0.031	0.329
Lib4_2_bin.37	15266	91.7	126.8	0.061	0.339
Lib4_2_bin.37	3303	85.9	111.2	0.033	0.350
Lib4_2_bin.37	3819	89.9	134.4	0.127	0.344
Lib4_2_bin.37	4647	89.5	102.5	0.088	0.367
Lib4_2_bin.37	3259	91.4	127.7	0.028	0.343
Lib4_2_bin.37	3903	91.4	91.3	0.052	0.324
Lib4_2_bin.37	4485	90	91.2	0.11	0.321
Lib4_2_bin.37	4185	90.6	126.2	0.041	0.344
Lib4_2_bin.37	3792	91.4	93.7	0.068	0.333
Lib4_2_bin.37	9181	92.2	86.6	0.048	0.297
Lib4_2_bin.37	5659	91.5	91.4	0.03	0.340
Lib4_2_bin.37	7335	91.5	126	0.053	0.323
Lib4_2_bin.37	2874	91.3	108.5	0.023	0.321
Lib4_2_bin.37	2885	90.5	106	0.082	0.357
Lib4_2_bin.37	2677	90.6	114.2	0.035	0.367
Lib4_2_bin.37	4099	89.4	94.8	0.101	0.383
Lib4_2_bin.37	2867	89.4	87.9	0.08	0.346
Lib4_2_bin.37	5052	90.2	105.8	0.036	0.364
Lib4_2_bin.37	2838	93.8	91.7	0.048	0.330
Lib4_2_bin.37	3280	90.4	94.4	0.033	0.354
Lib4_2_bin.37	4735	92.3	121.3	0.064	0.335
Lib4_2_bin.37	5716	91.3	115	0.049	0.334
Lib4_2_bin.37	3708	89.8	93.9	0.043	0.354
Lib4_2_bin.37	3381	91.9	103.6	0.035	0.341
Lib4_2_bin.37	4669	90.8	113.4	0.066	0.360
Lib4_2_bin.37	2814	90.5	113.6	0.015	0.364
Lib4_2_bin.37	7423	91.7	80.2	0.053	0.333
Lib4_2_bin.37	5773	91.1	104.9	0.039	0.313
Lib4_2_bin.37	5133	90.8	132.8	0.028	0.329
Lib4_2_bin.37	2756	91.1	110.5	0.025	0.350
Lib4_2_bin.37	7122	91.5	128.7	0.047	0.337
Lib4_2_bin.37	6126	91.5	110.8	0.055	0.330
Lib4_2_bin.37	8924	91.6	106.7	0.066	0.348
Lib4_2_bin.37	4609	90.8	77.1	0.042	0.340
Lib4_2_bin.37	5775	91.7	115.2	0.037	0.330
Lib4_2_bin.37	9106	91.1	104.6	0.035	0.341
Lib4_2_bin.37	11542	91.7	129.9	0.043	0.338
Lib4_2_bin.37	7880	91.3	105.4	0.039	0.334
Lib4_2_bin.37	12684	90.7	96.9	0.039	0.354
Lib4_2_bin.37	5736	92.1	115.1	0.048	0.356
Lib4_2_bin.37	2947	84.9	68.7	0.043	0.311
Lib4_2_bin.37	2590	91.3	111.4	0.043	0.325
Lib4_2_bin.37	3147	91.5	111.8	0.035	0.340
Lib4_2_bin.37	5078	89.8	111.2	0.058	0.340
Lib4_2_bin.37	8037	90.7	91.3	0.045	0.327
Lib4_2_bin.37	5273	91.4	129.2	0.061	0.333
Lib4_2_bin.37	3976	92.4	106.9	0.041	0.355
Lib4_2_bin.37	8109	91.1	98.9	0.05	0.333
Lib4_2_bin.37	3163	91.2	95.3	0.03	0.307
Lib4_2_bin.37	8033	92.1	133.5	0.043	0.325
